Designator,Mid X,Mid Y,Rotation,Layer
C1,73.9375,-87.64375,270.0,top
C10,96.5,-88.0,180.0,top
C11,96.5,-89.8,180.0,top
C12,96.3,-91.7,180.0,top
C13,79.6,-104.0,270.0,top
C14,86.5,-113.1,0.0,top
C15,81.0,-108.0,270.0,top
C16,81.3,-97.7,180.0,top
C17,101.9,-99.8,270.0,top
C18,103.7,-100.0,270.0,top
C19,103.5,-96.7,90.0,top
C2,75.9375,-87.64375,270.0,top
C20,101.9,-96.7,90.0,top
C21,81.5,-100.0,180.0,top
C22,89.0,-107.272054,180.0,top
C23,84.0,-96.5,90.0,top
C24,85.5,-96.5,90.0,top
C25,83.5,-102.5,270.0,top
C26,85.0,-102.5,270.0,top
C3,77.9375,-87.83875,270.0,top
C4,84.3125,-89.6,270.0,top
C5,85.898173,-89.6,270.0,top
C6,87.5,-89.6,270.0,top
C7,89.1,-89.6,270.0,top
C8,88.999695,-108.862547,180.0,top
C9,89.194525,-110.678131,180.0,top
D1,66.574004,-98.2,0.0,top
D2,102.8,-90.6,180.0,top
D3,74.5,-103.9,0.0,top
D4,93.8,-114.2,90.0,top
F1,62.78519,-90.369792,90.0,top
FB1,65.28519,-90.369792,270.0,top
FB2,96.5,-86.0,180.0,top
IC1,94.0,-99.5,270.0,top
J1,67.0,-83.0,180.0,top
J2,67.0,-113.5,0.0,top
J3,57.715,-108.1,270.0,top
L1,91.8,-89.0,270.0,top
NCP1,81.0125,-87.95625,270.0,top
PROG1,96.3,-117.1,0.0,top
Q1,69.17,-91.88321,180.0,top
R1,64.98519,-94.25,270.0,top
R2,64.98519,-102.0375,90.0,top
R3,68.97,-88.78321,180.0,top
R4,81.0125,-90.95625,0.0,top
R5,55.58519,-90.8984,180.0,top
R6,102.8,-91.8,180.0,top
R7,79.0,-107.925,90.0,top
R8,94.85,-114.25,270.0,top
R9,93.9,-88.8,270.0,top
SWD1,102.8,-107.775,180.0,top
U1,74.4,-95.65,0.0,top
U2,95.5,-110.1,180.0,top
USB_UFP1,57.995,-98.25,270.0,top
Y1,84.34,-108.9975,270.0,top
Y2,85.5,-99.5,90.0,top
